Country Name,Code,2016
Aruba,ABW,28452.17061
Africa Eastern and Southern,AFE,1431.778723
Afghanistan,AFG,512.0127781
Africa Western and Central,AFW,1673.835527
Angola,AGO,3506.073128
Albania,ALB,4124.05539
Andorra,AND,37475.63506
Arab World,ARB,5969.616593
United Arab Emirates,ARE,38141.86713
Argentina,ARG,12790.24247
Armenia,ARM,3591.828052
American Samoa,ASM,12038.2497
Antigua and Barbuda,ATG,15198.74297
Australia,AUS,49881.76371
Austria,AUT,45276.83144
Azerbaijan,AZE,3880.738731
Burundi,BDI,260.5652208
Belgium,BEL,41984.10303
Benin,BEN,1087.287331
Burkina Faso,BFA,688.2506963
Bangladesh,BGD,1401.564635
Bulgaria,BGR,7569.478815
Bahrain,BHR,22608.45256
"Bahamas, The",BHS,31732.91914
Bosnia and Herzegovina,BIH,4994.971551
Belarus,BLR,5039.681886
Belize,BLZ,4856.973249
Bermuda,BMU,106885.8785
Bolivia,BOL,3076.65644
Brazil,BRA,8710.06329
Barbados,BRB,16900.04829
Brunei Darussalam,BRN,27158.40565
Bhutan,BTN,2930.574923
Botswana,BWA,6982.917492
Central African Republic,CAF,402.1916451
Canada,CAN,42315.60371
Central Europe and the Baltics,CEB,12829.89634
Switzerland,CHE,83073.28008
Channel Islands,CHI,
Chile,CHL,13753.59215
China,CHN,8094.363367
Cote d'Ivoire,CIV,2013.381448
Cameroon,CMR,1413.255957
"Congo, Dem. Rep.",COD,471.3188225
"Congo, Rep.",COG,2050.993415
Colombia,COL,5870.777957
Comoros,COM,1273.050952
Cabo Verde,CPV,3130.998753
Costa Rica,CRI,12011.22275
Caribbean small states,CSS,9574.221486
Cuba,CUB,8060.796598
Curacao,CUW,19555.36585
Cayman Islands,CYM,78471.62873
Cyprus,CYP,24605.92083
Czech Republic,CZE,18575.23203
Germany,DEU,42107.51727
Djibouti,DJI,2802.166204
Dominica,DMA,8080.968623
Denmark,DNK,54663.99837
Dominican Republic,DOM,7280.88361
Algeria,DZA,3946.452447
East Asia & Pacific (excluding high income),EAP,6575.51412
Early-demographic dividend,EAR,3257.391915
East Asia & Pacific,EAS,9845.914175
Europe & Central Asia (excluding high income),ECA,7189.28646
Europe & Central Asia,ECS,22446.16875
Ecuador,ECU,6060.092962
"Egypt, Arab Rep.",EGY,3519.87324
Euro area,EMU,35139.82359
Eritrea,ERI,
Spain,ESP,26505.34322
Estonia,EST,18282.92339
Ethiopia,ETH,717.1248698
European Union,EUU,31168.43604
Fragile and conflict affected situations,FCS,1656.735971
Finland,FIN,43784.28396
Fiji,FJI,5651.272721
France,FRA,37037.37419
Faroe Islands,FRO,56854.10265
"Micronesia, Fed. Sts.",FSM,3014.700358
Gabon,GAB,6984.419712
United Kingdom,GBR,41499.5557
Georgia,GEO,4062.169888
Ghana,GHA,1971.956935
Gibraltar,GIB,
Guinea,GIN,732.2915119
"Gambia, The",GMB,690.7804932
Guinea-Bissau,GNB,661.4578387
Equatorial Guinea,GNQ,9250.316493
Greece,GRC,17911.79938
Grenada,GRD,9628.259169
Greenland,GRL,48181.87419
Guatemala,GTM,4173.301666
Guam,GUM,36214.00692
Guyana,GUY,5811.397924
High income,HIC,41112.5094
"Hong Kong SAR, China",HKG,43731.10682
Honduras,HND,2326.297278
Heavily indebted poor countries (HIPC),HPC,905.3437711
Croatia,HRV,12527.73986
Haiti,HTI,1290.380508
Hungary,HUN,13107.37791
IBRD only,IBD,5526.653885
IDA & IBRD total,IBT,4461.24653
IDA total,IDA,1253.714436
IDA blend,IDB,1795.212451
Indonesia,IDN,3562.816334
IDA only,IDX,979.6875448
Isle of Man,IMN,82197.12677
India,IND,1732.554242
Not classified,INX,
Ireland,IRL,62818.96636
"Iran, Islamic Rep.",IRN,5253.42656
Iraq,IRQ,4550.658638
Iceland,ISL,61987.92636
Israel,ISR,37330.2618
Italy,ITA,30939.71425
Jamaica,JAM,4843.7499
Jordan,JOR,4175.356602
Japan,JPN,39400.73936
Kazakhstan,KAZ,7714.841844
Kenya,KEN,1525.235192
Kyrgyz Republic,KGZ,1120.666513
Cambodia,KHM,1269.591499
Kiribati,KIR,1584.738015
St. Kitts and Nevis,KNA,19541.12783
"Korea, Rep.",KOR,29288.87044
Kuwait,KWT,27653.15762
Latin America & Caribbean (excluding high income),LAC,7930.901915
Lao PDR,LAO,2324.400917
Lebanon,LBN,7653.73363
Liberia,LBR,740.914906
Libya,LBY,4035.196802
St. Lucia,LCA,10362.35166
Latin America & Caribbean,LCN,8352.056223
Least developed countries: UN classification,LDC,971.750509
Low income,LIC,646.1046361
Liechtenstein,LIE,165642.3863
Sri Lanka,LKA,3886.291502
Lower middle income,LMC,2139.539533
Low & middle income,LMY,4339.347951
Lesotho,LSO,1018.931093
Late-demographic dividend,LTE,8156.791158
Lithuania,LTU,14998.12506
Luxembourg,LUX,106826.7264
Latvia,LVA,14322.02268
"Macao SAR, China",MAC,73545.75824
St. Martin (French part),MAF,
Morocco,MAR,2896.722196
Monaco,MCO,170028.6557
Moldova,MDA,2880.439281
Madagascar,MDG,475.9555568
Maldives,MDV,9209.443564
Middle East & North Africa,MEA,7161.033137
Mexico,MEX,8744.515559
Marshall Islands,MHL,3490.998389
Middle income,MIC,4733.851353
North Macedonia,MKD,5149.589074
Mali,MLI,780.7235695
Malta,MLT,25741.44606
Myanmar,MMR,1136.610665
Middle East & North Africa (excluding high income),MNA,3791.302622
Montenegro,MNE,7028.936577
Mongolia,MNG,3658.3903
Northern Mariana Islands,MNP,21891.18479
Mozambique,MOZ,428.9266729
Mauritania,MRT,1536.854888
Mauritius,MUS,9681.618567
Malawi,MWI,315.7779871
Malaysia,MYS,9817.78709
North America,NAC,56451.5175
Namibia,NAM,4546.986688
New Caledonia,NCL,32391.19722
Niger,NER,500.2149113
Nigeria,NGA,2176.002772
Nicaragua,NIC,2107.57406
Netherlands,NLD,46007.85292
Norway,NOR,70460.56053
Nepal,NPL,899.523581
Nauru,NRU,9521.042101
New Zealand,NZL,40080.49411
OECD members,OED,36072.08446
Oman,OMN,16772.73921
Other small states,OSS,12384.39739
Pakistan,PAK,1368.426961
Panama,PAN,14343.98026
Peru,PER,6204.996457
Philippines,PHL,3073.654686
Palau,PLW,16835.986
Papua New Guinea,PNG,2509.629637
Poland,POL,12447.43959
Pre-demographic dividend,PRE,1385.784918
Puerto Rico,PRI,30627.1634
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,19978.40121
Paraguay,PRY,5324.609068
West Bank and Gaza,PSE,3527.613824
Pacific island small states,PSS,3963.692373
Post-demographic dividend,PST,41442.76238
French Polynesia,PYF,
Qatar,QAT,57162.96801
Romania,ROU,9548.587403
Russian Federation,RUS,8704.898413
Rwanda,RWA,744.7607488
South Asia,SAS,1652.251801
Saudi Arabia,SAU,19878.76384
Sudan,SDN,1069.839957
Senegal,SEN,1269.903294
Singapore,SGP,56848.17539
Solomon Islands,SLB,2225.486842
Sierra Leone,SLE,501.4151655
El Salvador,SLV,3805.995686
San Marino,SMR,43828.23246
Somalia,SOM,389.8220615
Serbia,SRB,5765.200762
Sub-Saharan Africa (excluding high income),SSA,1528.185535
South Sudan,SSD,
Sub-Saharan Africa,SSF,1529.439256
Small states,SST,11350.72567
Sao Tome and Principe,STP,1700.097997
Suriname,SUR,5872.789429
Slovak Republic,SVK,16501.08385
Slovenia,SVN,21663.64341
Sweden,SWE,51965.15715
Eswatini,SWZ,3425.531957
Sint Maarten (Dutch part),SXM,31616.6817
Seychelles,SYC,15068.62035
Syrian Arab Republic,SYR,707.5052667
Turks and Caicos Islands,TCA,28241.47929
Chad,TCD,693.4497674
East Asia & Pacific (IDA & IBRD countries),TEA,6648.812448
Europe & Central Asia (IDA & IBRD countries),TEC,7677.400469
Togo,TGO,803.1518934
Thailand,THA,5993.305516
Tajikistan,TJK,807.1025861
Turkmenistan,TKM,6387.682575
Latin America & the Caribbean (IDA & IBRD countries),TLA,8186.788135
Timor-Leste,TLS,1353.754934
Middle East & North Africa (IDA & IBRD countries),TMN,3794.449568
Tonga,TON,4157.877249
South Asia (IDA & IBRD),TSA,1652.251801
Sub-Saharan Africa (IDA & IBRD countries),TSS,1529.439256
Trinidad and Tobago,TTO,16250.62869
Tunisia,TUN,3924.363346
Turkey,TUR,10894.60338
Tuvalu,TUV,3253.899536
