country,gdp_per_capita,suicide_rate_2016,,Top 10  countries by gdp per capita,Bottom 10 countries by gdp per capita
Eritrea,NULL,13.8,,10.17272727,10.15454545
South Sudan,NULL,6.1,,,
Luxembourg,106826.7264,10.4,,,
Switzerland,83073.28008,11.3,,,
Norway,70460.56053,10.1,,,
Ireland,62818.96636,10.9,,,
Iceland,61987.92636,13.3,,,
Qatar,57162.96801,5.8,,,
Singapore,56848.17539,7.9,,,
Denmark,54663.99837,9.2,,,
Sweden,51965.15715,11.7,,,
Australia,49881.76371,11.7,,,
Netherlands,46007.85292,9.6,,,
Austria,45276.83144,11.4,,,
Finland,43784.28396,13.8,,,
Canada,42315.60371,10.4,,,
Germany,42107.51727,9.1,,,
Belgium,41984.10303,15.7,,,
New Zealand,40080.49411,11.6,,,
Japan,39400.73936,14.3,,,
United Arab Emirates,38141.86713,2.7,,,
Israel,37330.2618,5.2,,,
France,37037.37419,12.1,,,
Italy,30939.71425,5.5,,,
Kuwait,27653.15762,2.2,,,
Brunei Darussalam,27158.40565,4.5,,,
Spain,26505.34322,6.1,,,
Malta,25741.44606,6.5,,,
Cyprus,24605.92083,4.5,,,
Bahrain,22608.45256,5.7,,,
Slovenia,21663.64341,13.3,,,
Portugal,19978.40121,8.6,,,
Saudi Arabia,19878.76384,3.4,,,
Estonia,18282.92339,14.4,,,
Greece,17911.79938,3.8,,,
Barbados,16900.04829,0.4,,,
Oman,16772.73921,3.5,,,
Uruguay,16715.63347,16.5,,,
Trinidad and Tobago,16250.62869,12.9,,,
Antigua and Barbuda,15198.74297,0.5,,,
Seychelles,15068.62035,8.3,,,
Lithuania,14998.12506,25.7,,,
Panama,14343.98026,4.4,,,
Latvia,14322.02268,17.2,,,
Chile,13753.59215,9.7,,,
Hungary,13107.37791,13.6,,,
Argentina,12790.24247,9.1,,,
Croatia,12527.73986,11.5,,,
Poland,12447.43959,13.4,,,
Costa Rica,12011.22275,7.5,,,
Turkey,10894.60338,7.2,,,
Malaysia,9817.78709,6.2,,,
Mauritius,9681.618567,7.3,,,
Grenada,9628.259169,1.7,,,
Romania,9548.587403,8,,,
Equatorial Guinea,9250.316493,22,,,
Maldives,9209.443564,2.7,,,
Mexico,8744.515559,5.2,,,
Brazil,8710.06329,6.1,,,
Russian Federation,8704.898413,26.5,,,
China,8094.363367,8,,,
Cuba,8060.796598,10.1,,,
Kazakhstan,7714.841844,22.8,,,
Lebanon,7653.73363,3.2,,,
Bulgaria,7569.478815,7.9,,,
Dominican Republic,7280.88361,10.5,,,
Montenegro,7028.936577,7.9,,,
Gabon,6984.419712,9.6,,,
Botswana,6982.917492,11.5,,,
Turkmenistan,6387.682575,7.2,,,
Peru,6204.996457,5.1,,,
Ecuador,6060.092962,7.2,,,
Thailand,5993.305516,12.9,,,
Suriname,5872.789429,23.2,,,
Colombia,5870.777957,7,,,
Guyana,5811.397924,30.2,,,
Serbia,5765.200762,10.9,,,
South Africa,5756.965741,12.8,,,
Fiji,5651.272721,5.5,,,
Paraguay,5324.609068,9.3,,,
Belarus,5039.681886,21.4,,,
Bosnia and Herzegovina,4994.971551,6.4,,,
Belize,4856.973249,5.9,,,
Jamaica,4843.7499,2,,,
Iraq,4550.658638,4.1,,,
Namibia,4546.986688,11.5,,,
Jordan,4175.356602,3.7,,,
Guatemala,4173.301666,2.9,,,
Tonga,4157.877249,4,,,
Albania,4124.05539,5.6,,,
Samoa,4109.663228,5.4,,,
Georgia,4062.169888,6.7,,,
Libya,4035.196802,5.5,,,
Algeria,3946.452447,3.3,,,
Tunisia,3924.363346,3.2,,,
Sri Lanka,3886.291502,14.2,,,
Azerbaijan,3880.738731,2.6,,,
El Salvador,3805.995686,13.5,,,
Mongolia,3658.3903,13.3,,,
Armenia,3591.828052,5.7,,,
Indonesia,3562.816334,3.7,,,
Angola,3506.073128,8.9,,,
Eswatini,3425.531957,16.7,,,
Cabo Verde,3130.998753,15.1,,,
Philippines,3073.654686,3.7,,,
Bhutan,2930.574923,11.6,,,
Morocco,2896.722196,3.1,,,
Vanuatu,2805.66532,5.4,,,
Djibouti,2802.166204,8.5,,,
Uzbekistan,2704.677188,7.4,,,
Papua New Guinea,2509.629637,7,,,
Honduras,2326.297278,3.4,,,
